run_name,target_host,n_candidates,mean_target_score,best_target_score,mean_strict_manifold,mean_pll_delta,validated_fraction
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed42,Enterobacter,50,0.6039351387363392,0.6266772435692393,0.9978146696090698,1.4978119643529257,0.3
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed43,Enterobacter,50,0.6143871599762973,0.6450793294945086,0.9978311425447464,1.5210686246554055,0.1
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed44,Enterobacter,50,0.6095649982733642,0.6443516525528517,0.9978422546386718,1.4036511890093484,0.18
kleb_to_enterobacter_structural_entropy_diversity_seed42,Enterobacter,50,0.6039351387363392,0.6266772435692393,0.9978146696090698,1.4978119643529257,0.3
kleb_to_enterobacter_structural_entropy_diversity_seed43,Enterobacter,50,0.6143871599762973,0.6450793294945086,0.9978311425447464,1.5210686246554055,0.1
kleb_to_enterobacter_structural_entropy_diversity_seed44,Enterobacter,50,0.6095649982733642,0.6443516525528517,0.9978422546386718,1.4036511890093484,0.18
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed42,Enterobacter,50,0.6039351387363392,0.6266772435692393,0.9978146696090698,1.4978119643529257,0.3
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed43,Enterobacter,50,0.6143871599762973,0.6450793294945086,0.9978311425447464,1.5210686246554055,0.1
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed44,Enterobacter,50,0.6095649982733642,0.6443516525528517,0.9978422546386718,1.4036511890093484,0.18
kleb_to_enterobacter_structural_plus_entropy_diversity_seed42,Enterobacter,50,0.6039351387363392,0.6266772435692393,0.9978146696090698,1.4978119643529257,0.3
kleb_to_enterobacter_structural_plus_entropy_diversity_seed43,Enterobacter,50,0.6143871599762973,0.6450793294945086,0.9978311425447464,1.5210686246554055,0.1
kleb_to_enterobacter_structural_plus_entropy_diversity_seed44,Enterobacter,50,0.6095649982733642,0.6443516525528517,0.9978422546386718,1.4036511890093484,0.18
kleb_to_enterobacter_structural_plus_random_diversity_seed42,Enterobacter,50,0.5337588213971791,0.5660607576384127,0.998417791724205,0.3504220883051555,0.24
kleb_to_enterobacter_structural_plus_random_diversity_seed43,Enterobacter,50,0.5670894527634368,0.5929523643470732,0.9980094939470291,0.20367371122042344,0.0
kleb_to_enterobacter_structural_plus_random_diversity_seed44,Enterobacter,50,0.5410858432546941,0.5636266617555489,0.9984340488910675,0.2952447185913722,0.06
kleb_to_enterobacter_structural_plus_random_no_diversity_seed42,Enterobacter,50,0.5337588213971791,0.5660607576384127,0.998417791724205,0.3504220883051555,0.24
