run,dataset,target,method,seed,mean_score,max_score,min_score,median_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_acinetobacter_structural_plus_random_diversity_seed42,structural_plus,Acinetobacter,random_diversity,42.0,0.197128483826076,0.2458402369113072,0.1422652116219853,0.1985675923739177,5.386938775510204,89.0,0.9945148086547853,0.0054851913452147,0.1916800353694892,0.15419918068294888
kleb_to_acinetobacter_structural_plus_random_diversity_seed43,structural_plus,Acinetobacter,random_diversity,43.0,0.1371600449473546,0.1590282674398068,0.1307754811860369,0.1360408234670105,16.996734693877553,97.0,0.9993667435646058,0.0006332564353942,0.10486806589798879,0.09304309581177522
kleb_to_acinetobacter_structural_plus_random_diversity_seed44,structural_plus,Acinetobacter,random_diversity,44.0,0.1453203746189798,0.2199284293941962,0.135730560223159,0.1408823873486732,11.363265306122448,100.0,0.9992509412765505,0.0007490587234496,0.1657682278523782,0.11002671413797216
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed42,structural_plus,Acinetobacter,random_no_diversity,42.0,0.1982879022103704,0.2458402369113072,0.1736064150070284,0.1985675923739177,4.191836734693878,88.0,0.9943443074,0.005655694004,0.1916800353694892,0.16755887401777242
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed43,structural_plus,Acinetobacter,random_no_diversity,43.0,0.1371600449473546,0.1590282674398068,0.1307754811860369,0.1360408234670105,16.996734693877553,97.0,0.9993667444,0.000633256437,0.10486806589798879,0.09329056510300988
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed44,structural_plus,Acinetobacter,random_no_diversity,44.0,0.1453203746189798,0.2199284293941962,0.135730560223159,0.1408823873486732,11.363265306122448,100.0,0.9992509422,0.0007490587256,0.1657682278523782,0.11066453331652386
kleb_to_acinetobacter_structural_random_diversity_seed42,structural,Acinetobacter,random_diversity,42.0,0.197128483826076,0.2458402369113072,0.1422652116219853,0.1985675923739177,5.386938775510204,89.0,0.9945148086547853,0.0054851913452147,0.1916800353694892,0.15419918068294888
kleb_to_acinetobacter_structural_random_diversity_seed43,structural,Acinetobacter,random_diversity,43.0,0.1371600449473546,0.1590282674398068,0.1307754811860369,0.1360408234670105,16.996734693877553,97.0,0.9993667435646058,0.0006332564353942,0.10486806589798879,0.09304309581177522
kleb_to_acinetobacter_structural_random_diversity_seed44,structural,Acinetobacter,random_diversity,44.0,0.1453203746189798,0.2199284293941962,0.135730560223159,0.1408823873486732,11.363265306122448,100.0,0.9992509412765505,0.0007490587234496,0.1657682278523782,0.11002671413797216
kleb_to_acinetobacter_structural_random_no_diversity_seed42,structural,Acinetobacter,random_no_diversity,42.0,0.1982879022103704,0.2458402369113072,0.1736064150070284,0.1985675923739177,4.191836734693878,88.0,0.9943443074,0.005655694004,0.1916800353694892,0.16755887401777242
kleb_to_acinetobacter_structural_random_no_diversity_seed43,structural,Acinetobacter,random_no_diversity,43.0,0.1371600449473546,0.1590282674398068,0.1307754811860369,0.1360408234670105,16.996734693877553,97.0,0.9993667444,0.000633256437,0.10486806589798879,0.09329056510300988
kleb_to_acinetobacter_structural_random_no_diversity_seed44,structural,Acinetobacter,random_no_diversity,44.0,0.1453203746189798,0.2199284293941962,0.135730560223159,0.1408823873486732,11.363265306122448,100.0,0.9992509422,0.0007490587256,0.1657682278523782,0.11066453331652386
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed42,structural,Enterobacter,entropy_diversity_novelty,42.0,0.6039351387363393,0.6266772435692393,0.5962563668440573,0.6028032556415996,11.235918367346938,34.0,0.9990915071964264,0.0009084928035735,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed43,structural,Enterobacter,entropy_diversity_novelty,43.0,0.6143871599762973,0.6450793294945086,0.6047985637620964,0.612152020967726,7.497959183673469,31.0,0.9990636777877808,0.0009363222122191,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed44,structural,Enterobacter,entropy_diversity_novelty,44.0,0.6095649982733642,0.6443516525528517,0.6000794809568633,0.6070365560260094,12.641632653061224,35.0,0.9990943276882172,0.0009056723117827,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_entropy_diversity_seed42,structural,Enterobacter,entropy_diversity,42.0,0.6039351387363392,0.6266772435692393,0.5962563668440573,0.6028032556415996,11.235918367346938,34.0,0.9990915071964264,0.0009084928035735,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_entropy_diversity_seed43,structural,Enterobacter,entropy_diversity,43.0,0.6143871599762973,0.6450793294945086,0.6047985637620964,0.612152020967726,7.497959183673469,31.0,0.9990636777877808,0.0009363222122191,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_entropy_diversity_seed44,structural,Enterobacter,entropy_diversity,44.0,0.6095649982733642,0.6443516525528517,0.6000794809568633,0.6070365560260094,12.641632653061224,35.0,0.9990943276882172,0.0009056723117827,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed42,structural_plus,Enterobacter,entropy_diversity_novelty,42.0,0.6039351387363393,0.6266772435692393,0.5962563668440573,0.6028032556415996,11.235918367346938,34.0,0.9990915071964264,0.0009084928035735,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed43,structural_plus,Enterobacter,entropy_diversity_novelty,43.0,0.6143871599762973,0.6450793294945086,0.6047985637620964,0.612152020967726,7.497959183673469,31.0,0.9990636777877808,0.0009363222122191,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed44,structural_plus,Enterobacter,entropy_diversity_novelty,44.0,0.6095649982733642,0.6443516525528517,0.6000794809568633,0.6070365560260094,12.641632653061224,35.0,0.9990943276882172,0.0009056723117827,0.24169651363004263,0.2218520997074703
