run,mean_score,max_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_pseudomonas_structural_random_no_diversity_seed44,0.2425669354253852,0.2774265634807126,16.358367346938774,100.0,,,0.15634238784939924,0.1373389736803449
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed42,0.6038416276985344,0.6266772435692393,11.16734693877551,33.0,,,0.22402210464643024,0.21012287015194647
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed43,0.6143562701003246,0.6450793294945086,7.631836734693877,31.0,,,0.24242419057169962,0.225168145332377
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed44,0.6099925938829663,0.6443516525528517,13.01469387755102,35.0,,,0.24169651363004263,0.22111881497220195
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed42,0.272832475342081,0.297622407106994,12.321632653061224,36.0,,,0.17653823147568065,0.1678107530367901
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed43,0.265689003245119,0.295738505892396,11.903673469387757,34.0,,,0.17465433026108262,0.15904470044902524
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed44,0.2826537760324411,0.3249375912956388,11.266938775510203,38.0,,,0.20385341566432547,0.1700159796350456
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l2_seed42,0.6039155633218384,0.6266772435692393,11.360816326530612,35.0,,,0.22402210464643024,0.20995465755777465
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5_seed42,0.6038416276985344,0.6266772435692393,11.16734693877551,33.0,,,0.22402210464643024,0.21012287015194647
optionA_kleb_to_enterobacter_structural_entropy_diversity_seed42,0.6039351387363392,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l2_seed42,0.2730267825483138,0.297622407106994,12.394285714285717,40.0,,,0.17653823147568065,0.16621995643363885
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5_seed42,0.272832475342081,0.297622407106994,12.321632653061224,36.0,,,0.17653823147568065,0.1678107530367901
optionA_kleb_to_pseudomonas_structural_entropy_diversity_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
